"Číslo projektu","Soutěž","Komise","Navrhovatel","Uchazeč","Fakulta","Abstrakt","Klíčová slova","Trvání","Dotace","Způsobilé","Název"
"20-23532L","Lead Agency - 2020","kontrola","Ing. Miroslav Pátek, CSc.","Mikrobiologický ústav AV ČR, v.v.i.",,"Biokatalýza se stala důležitou součástí organické syntézy, ale dosud postrádá některé z žádaných metod, jako je např. konverze karboxylových kyselin na nitrily. Proto navrhujeme šetrnou a ekologickou chemoenzymatickou kaskádu, která bude kombinovat dva enzymy, karboxylát reduktasu (CAR) a aldoximdehydratasu (AOxD) s chemickou konverzí produktů CAR (aldehydů) na substráty AOxD (aldoximy). Cílový proces (přeměna kyseliny na nitril) je tedy formálně reverzí reakce katalyzované nitrilasou (této obrácené reakce nebylo však s nitrilasou nikdy dosaženo). Pro tento účel budou kmeny E. coli vybaveny geny pro i) CAR a její pomocný protein, a ii) pro AOxD, přičemž budou vybrány stabilní CAR a AOxD s širokou substrátovou specifitou. Optimálním řešením bude koexprese těchto genů a transformace kyselin na nitrily in vivo. Ekologický význam nového postupu spočívá zejména v tom, že se v něm nepoužívá kyanid a je možné využít karboxylové kyseliny z obnovitelných zdrojů jako ligninu.","Chemoenzymatická kaskáda;karboxylátreduktasa (CAR); aldoximdehydratasa; syntéza nitrilů;syntéza aldoximů",3,"5292","5292","Nový chemoenzymatický způsob přípravy nitrilů z karboxylových kyselin"
"20-17627S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Prof. RNDr. Ondřej Prášil, Ph.D.","Mikrobiologický ústav AV ČR, v.v.i.",,"Jednobuněčné diazotrofní sinice Crocosphaera watsonii a Cyanothece spp. jsou globálně významným zdrojem nového biologicky dostupného dusíku pro vodní prostředí. Svou aktivitou podporují biologickou primární produktivitu, tedy ovlivňují i koncentraci oxidu uhličitého v atmosféře. Ačkoliv jsou si svou velikostí oba kmeny podobné, jejich ekologické niky jsou odděleny a vzájemné metabolické rozdíly zůstávají nejasné. Pokusíme se vysvětlit rozdíly v jejich ekologické úspěšnosti pomocí rozdílů v jejich základním C a N metabolismu. Budeme proto studovat alokaci fotosyntetické energie do metabolismu C a N za podmínek různých zdrojů dusíku (fixace N2, asimilace NO3- či NH4+) a za přítomnosti stresů. Také chceme pochopit mechanismus vzniku a ekologický význam pozorované mezibuněčné heterogenity v C a N metabolismech. Získaná data budou použita pro zpřesnění globálního modelu C a N toků ve vodním prostředí","sinice; fotosyntéza; fixace dusíku; cyklus uhlíku; cyklus dusíku;",3,"8325","8325","Metabolismy C a N u jednobuněčných diazotrofních sinic a důsledky pro jejich ekologický význam"
"20-13029S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","RNDr. Jakub Tomala, Ph. D.","Mikrobiologický ústav AV ČR, v.v.i.",,"Myší IL-2/S4B6 mAb komplexy stimulující paměťové CD8 T a NK buňky mají silnou protinádorovou aktivitu výrazně nad úrovní volného IL-2. Terapeutické využití tohoto komplexu je ale omezeno myším původem IL-2, respektive možností disociace komplexu při nízké koncentraci.  V rámci tohoto projektu navrhneme, vyprodukujeme a charakterizujeme imunocytokin (IC) skládající se z lidského IL-2 (hIL-2) kovalentně připojeného k lehkému řetězci anti-hIL-2 mAb, funkčně podobné S4B6. Takové IC bude mít dostatečnou biologickou aktivitu a představuje způsob, jak se vypořádat s většinou potíží IL-2/S4B6 mAb komplexů. Následně ho otestujeme s ohledem na biofyzikální parametry, mechanismus účinku, stimulaci imunitních buněk a eradikaci nádorů. Dále se pokusíme zlepšit biologickou aktivitu našeho IC modifikací vazebné interakce hIL-2 and anti-hIL-2 mAb. Na závěr prozkoumáme potenciál vybraného IC v synergii s imunoterapií inhibitory kontrolních bodů imunitní reakce (αCTLA-4 mAb a/nebo αPD-1 mAb) i chemoterapií na vybraných experimentálních myších nádorech.","IL-2; imunokomplexy; imunocytokin; imunoterapeutika; nádor",3,"12596","12596","Vývoj klinicky relevantních IL-2 imunoterapeutik pro léčbu nádorů"
"20-09628Y","Juniorské projekty – 2020","Oborová komise lékařských a biologických věd","Mgr. Alexey Bondar, Ph.D.","Mikrobiologický ústav AV ČR, v.v.i.",,"G proteiny a receptory spřažené s G proteiny (GPCR) hrají klíčovou roli v buněčné signální transdukci. Důležitým aspektem G proteinové signalizace, jehož úloha je nejasná, jsou tzv. preexistující komplexy, tj. komplexy mezi inaktivními receptory a molekulami G proteinů. Například, není známo, jak preexistující komplexy ovlivňují nedávno objevenou „druhou vlnu“ signalizace GPCRů z endosomů. Ani mechanismus a význam signalizace z endosomů nejsou dostatečně popsány: např. není jasné, jak jsou GPCR, G proteiny a efektory transportovány do stejných endosomů. V rámci tohoto projektu proto navrhujeme prozkoumat roli preexistujících komplexů na buněčnou lokalizaci GPCR, G proteinových podjednotek, efektorů a signálních regulátorů. Naše široké zkušenosti s pokročilými zobrazovacími technikami a s G proteinovou signalizací umožní zkoumání studovaných molekulárních dějů při koncentracích fluorescentních sond blízkých endogenním koncentracím. Výsledky projektu budou mít široký dopad na porozumění fyziologickým mechanismům G proteinové signalizace, s vysokým vědeckým a farmakologickým významem.","GPCR; receptor; G protein; klathrin; fluorescenční protein; fluorescence; mikroskopie; buňka; membrána; buněčná signalizace; TIRF; endocytóza;",3,"4875","4875","Význam preexistujících komplexů mezi receptory a G proteiny v G proteinové signální kaskádě"
"20-12109S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Mgr. Libor Krásný, Ph.D.","Mikrobiologický ústav AV ČR, v.v.i.",,"Mykobakterie jsou medicínsky důležité organismy, mezi které patří závažné lidské patogeny. RNA polymeráza (RNAP) je klíčový enzym genové exprese a vhodný cíl antibiotik. Navrhujeme systematicky zmapovat a zkvantifikovat interakční partnery RNAP z modelové bakterie Mycobacterium smegmatis. Vybrané proteiny vázající se na RNAP boudou podrobně charakterizovány in vitro a in vivo. Nedávno jsme takto identifikovali pravděpodobnou  helikázu, homolog proteinu HelD z B. subtilis. Ukazujeme zde předběžnou strukturu komplexu RNAP a HelD z M. smegmatis získanou metodou Cryo-EM, která ukazuje nový pohled na způsob fungování tohoto proteinu. Tento projekt přinese nové komplexní informace o transkripčním aparátu a poskytne pochopení jeho struktury a funkce, které je nezbytné pro vývoj potenciálních antibakteriálních látek.","RNA polymeráza; transkripční faktor; regulace; mykobakterie; antibiotika",3,"14993","14993","Unikátní mykobakteriální transkripční systém: složení, struktura a funkce"
"20-03282S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","RNDr. Marek Šinkora, Ph.D.","Mikrobiologický ústav AV ČR, v.v.i.",,"PRRSV je významnou hrozbou pro celosvětovou produkci vepřového masa, protože způsobuje pandemii a předchozí výzkum stále neodhalil přesné příčiny patologie, která umožňuje viru přežívat v mladých selatech. Tento projekt navrhuje ověřit náš předpoklad, že PRRSV infikuje antigen prezentující buňky v brzlíku, které hrají kritickou roli ve vývoji T buněk během selekce jejich tolerujícího repertoáru. Alternativně může PRRSV přímo ovlivňovat samotné vyvíjející se T buňky a modifikovat repertoár jejich T buněčných receptorů. Výsledkem je změna v repertoáru thymocytů, kdy jsou PRRSV-specifické T buňky eliminovány, což způsobuje jejich absenci v periférii. Tato ""mezera"" v repertoáru T buněk umožňuje tolerovat PPRSV antigeny jako tělu vlastní, takže specifická imunitní odpověď proti viru neexistuje. Bez korespondujících T buněk je selekce B buněk schopných produkovat vysoko afinitní neutralizující protilátky znemožněna, stejně jako produkce cytotoxických T buněk. Tato strategie PRRSV může objasnit důvod pozorované imunitní dysregulace u této infekce, která není stále uspokojivě vysvětlena.","veterinární imunologie;reprodukční a respirační syndrom prasat;brzlík;vývoj lymfocytů;získaná imunita;",3,"10659","10659","Virus reprodukčního a respiračního syndromu prasat (PRRSV) pozměňuje vývoj thymocytů a repertoár T lymfocytů"
"20-02827Y","Juniorské projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Meri Eichner","Mikrobiologický ústav AV ČR, v.v.i.",,"Fixace N2 mořskou sinicí Trichodesmium je důležitým zdrojem dusíku pro společenstva fytoplanktonu v oligotrofních oblastech, avšak fixace N2 je utlumována O2 produkovaným během fotosyntézy. V projektu budeme zkoumat, jak jsou tyto dva vzájemně neslučitelné procesy fixace N2 a fotosyntézy regulovány na jednobuněčné úrovni tak, že budeme používat novou kombinaci různých zobrazovacích technik založených na mikroskopii, molekulárně biologických a biochemických technikách a na vědeckém modelování. Budeme charakterizovat regulační mechanizmy ovládající fotosyntézu a fixaci N2 na jednobuněčné úrovni, důsledky fotosyntetické aktivity pro buněčnou dynamiku O2 a mechanismy mezibuněčného přenosu uhlíku a dusíku. Tyto výsledky významně zlepší naše základní fyziologické chápání hlavního přispěvatele k mořskému oběhu uhlíku a dusíku.","sinice; fixace N2; fotosyntéza; fyziologie; fytoplankton; imaging",3,"6706","6706","Souhra fotosyntézy a fixace dusíku na úrovni jednotlivých buněk u Trichodesmia"
"20-02022Y","Juniorské projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Dr. rer. nat. Robert Starke","Mikrobiologický ústav AV ČR, v.v.i.",,"Mrtvá biomasa mikrobiálního původu je považována za významný zdroj tvorby půdní organické hmoty, ale současné výsledky neumožňují její podíl kvantifikovat. Biomasa hub je považována za vice rekalcitrantní než bakteriální, nicméně ve světle variability ve složení biomasy v rámci těchto skupin je otázkou, zda tento předpoklad platí. Mrtvá mikrobiální biomasa navíc dosud nebyla – na rozdíl od predace  živých mikroorganismů – důvěryhodně integrována do modelů půdních potravních řetězců. V tomto projektu navrhujeme studovat chemismus mrtvé biomasy různých bakterií a hub a sledovat její obrat v půdě v přítomnosti / nepřítomnosti detritivorního omnivora. Projekt popíše vliv diversity mikroorganismů I růstových podmínek na složení biomasy. Výsledky pomohou objasnit význam mrtvé mikrobní biomasy pro tvorbu půdní organické hmoty a její místo v potravním řetězci. To je důležité pro pochopení fungování cyklu uhlíku v půdách, jejichž organická hmota je v současnosti významně ovlivňována probíhajícími procesy globálních změn.","mikrobiální biomasa;obrat;chemické složení;potravním řetězec;půda",3,"10055","10055","Úsvit mrtvých: Chemické složení a obrat mrtvé mikrobiální biomasy a její role v potravním řetězci v půdě"
"20-16786S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","RNDr. Ing. Peter Molnár, PhD.","Vysoká škola ekonomická v Praze","Fakulta financí a účetnictví","Cílem projektu je prozkoumat vztahy mezi online aktivitou (měřenou pomocí Google SVI -
indexu zachycujícího objem vyhledávání frází na Google) a chováním finančních trhů (výnosy,
volatilitou, obchodovanými objemy, atp.). Projekt se zaměřuje na výzkum několika vzájemně
propojených témat: (1) Výzkum vztahu online aktivity na výnosy akcií s rozlišením efektu
krátkodobých a dlouhodobých změn v online aktivitě. (2) Výzkum využití strojového učení pro
analýzu online aktivity a srovnání jeho výsledků se standardními metodami regresní analýzy.
(3) Analýzu dopadů online aktivity na výnosy v období vyhlašování hospodářských výsledků s
rozlišením dopadů během vyhlašování a v období po vyhlášení. (4) Zhodnocení možnosti využít
data o online aktivitě pro zlepšení předpovědí volatility v modelech založených na
vysokofrekvenčních datech.","online;informace;Google;vyhledání;akcie;směnné kurzy;výnosy;oznámení o hospodářských výsledcích",3,"2745","2745","Online aktivita a finanční trhy"
"20-17529S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Ing. Miroslav Rada, Ph.D.","Vysoká škola ekonomická v Praze","Fakulta informatiky a statistiky","Projekt cílí na vývoj, vylepšování, implementaci a aplikaci metod pro řešení nejrůznějších úloh v operačním výzkumu a analýze dat. Převážná část výzkumu je spojena jednotícím tématem (výzkum se nicméně neomezuje výlučně na něj): enumerativními a aproximativními problémy nad polyedry a dalšími geometrickými objekty, zejména
– nad afinními obrazy hyperkrychlí – tzv. zonotopy,
– nad objekty k nim kombinatoricky duálními – arrangementy nadrovin, a
– související s intervalovým programováním.
Jádrem projektu jsou konkrétní ideje, které uchazeč považuje za hodné rozpracování. Algoritmy vyvíjené v rámci projektu jsou využitelné v široké škále témat a problémů operačního výzkumu a analýzy dat, projekt se zaměří například na:
a) dopravní problém s neurčitými koeficienty,
b) robustní estimátory lineární regrese,
c) kvadratickou maximalizaci nad hyperkrychlí,
d) intervalové lineární parametrické soustavy.
Projekt bezprostředně navazuje na projekt GAČR 17-13086S se shodným zaměřením, během jehož řešení se objevila další témata hodná rozpracování, která jsou základem navrhovaného projektu.","dopravní_problém; rank_estimátory; kvadratické_programování; diskrétní_geometrie; výpočetní_složitost; zonotopy; arrangementy_nadrovin",3,"2868","2868","Využití moderních metod diskrétní geometrie pro řešení vybraných problémů v operačním výzkumu a analýze dat – II"
