"Číslo projektu","Soutěž","Komise","Uchazeč","Fakulta","Klíčová slova","Trvání","Název"
"20-00043S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Mikrobiologický ústav AV ČR, v.v.i.",,"polyketid syntáza typu I;polynenasycené mastné kyseliny;bakterie;obrněnky;",3,"Alternativní zdroje omega-3 polynenasycených mastných kyselin"
"20-00062S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Univerzita Pardubice","Fakulta ekonomicko-správní","autentifikace osob;kontura ruky;evoluční algoritmy,kalibrace obrazu kamery;biometrický scanner;",3,"Nástroje a metody pro identifikaci osob s využitím kontury ruky"
"20-00109X","EXPRO - 2020","EXPRO","Jihočeská univerzita v Českých Budějovicích","Přírodovědecká fakulta","mikrobiom; symbióza; hmyz; bakterie; horizontalní přenos genů; genomika; pangenom; metagenomika;",5,"Mikrobiomy parazitického hmyzu: “melting pots” v přechodu bakterií k symbióze"
"20-00132S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Biologické centrum AV ČR, v.v.i.",,"mravenci; formování společenstev; chování; koruny; kompetice; kolonie; disturbance; elevace; Formicidae; mozaika; mezidruhové interakce; prostorová manipulace; vlastnosti druhů; fylogenetická diverzita; teplotní tolerance; teritorialita; tropické lesy;",3,"Objasnění faktorů formujících společenstva mravenců v korunách tropických lesů s pomocí experimentálních manipulací"
"20-00197S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Hradec Králové","Fakulta informatiky a managementu","Business proces model;optimalizace;poskytování služby;systém sdílené mobility;rozvozní problém;orientační problém;agentové modelování;heuristické metody;integrovaný systém mobility;synchronizace;rozvozní úloha se ziskem",3,"Optimalizace business procesů a produktů subjektů v sektoru služeb"
"20-00204S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Univerzita Hradec Králové","Přírodovědecká fakulta","sekvenční data;detekce anomálií;částečně-řízené učení;strojové učení",3,"Detekce anomálií v sekvenčních datech pomocí částečně řízeného strojového učení"
"20-00236S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Ústav makromolekulární chemie AV ČR, v.v.i.",,"galektin-3;glykomimetikum;glykopolymer;HPMA kopolymery;inhibitor;nádor;cílená léčba nádorů.",3,"Glykopolymery pro inhibici galektin-dependentního nádorového bujení"
"20-00243X","EXPRO - 2020","EXPRO","Vysoké učení technické v Brně","Fakulta elektrotechniky a komunikačních technologií","Časově kontinuální DSP;integrované obvody;energy harvesting;",5,"Časově kontinuální zpracování diskrétních signálů: nový přístup ke zpracování signálů"
"20-00270X","EXPRO - 2020","EXPRO","Vysoká škola chemicko-technologická v Praze","Fakulta potravinářské a biochemické technologie","půdní mikrobiální komunity;vztahy rostlina-mikroorganismus;rhizosféra;rhizodepozity;sekundární metabolity rostlin;biodegradace",5,"Život na rozhraní – ekologie mikroorganismů asociovaných s rostlinami"
"20-00289S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Vysoká škola chemicko-technologická v Praze","Fakulta potravinářské a biochemické technologie","rhizosféra;rhizodepozity;struktura půdních mikrobiálních komunit;mikrobiální aktivita",3,"Co dělá rhizosféru rhizosférou? Rhizodepozity jako determinanty struktury půdních mikrobiálních komunit"
"20-00301S","Standardní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Technická univerzita v Liberci","Ústav pro nanomateriály, pokročilé technologie a inovace","Mikrobiální_společenstva;fylogenetické_a_funkční_vztahy;biodegradace;chlorované_organické látky;epicPCR;extrachromozomální_DNA;modelování_metabolických_drah",3,"Propojení fylogenetické a funkční informace u jednotlivých bakteriálních taxonů v lokalitách kontaminovaných organochloridy"
"20-00338S","Standardní projekty – 2020","Oborová komise technických věd","Vysoké učení technické v Brně","Fakulta elektrotechniky a komunikačních technologií","Analogové obvody;aproximace;optimalizace;teorie obvodů;systém na čipu;SoC;mikroelektronika;MOS-only;MOS-C;dvojbran;diferenční;vzájemně propojené;filtr;oscilátor;imitanční konvertor;FDNR;bilineár;obvody fraktálního řádu;FOC;FOI;PID regulátor",3,"Syntéza, analýza a optimalizace analogových integrovaných obvodů na čipu s charakterem celočíselného a fraktálního řádu"
"20-00340S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Filosofický ústav AV ČR, v.v.i.",,"božstvo; mýtus; rituál; tabu; nahota; ženskost; Afrodita; Venuše; umění; antika; středověk; novověk; recepce antiky",3,"Božská nahota"
"20-00364S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Masarykova univerzita","Filozofická fakulta","hrad; příkop; původ panství; středověk; Rokštejn",3,"Hradní příkop jako svědek vzniku a zániku hradu Rokštejn"
"20-00386J","Mezinárodní projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Technická univerzita v Liberci","Ústav pro nanomateriály, pokročilé technologie a inovace","Sušení rozprašováním;Rostlinné_gumy;Anhydrid kyseliny dodecenylsukcinové;Polymerní deriváty;Nanočástice elementárního železa;Grafen-oxid;Čištění životního prostředí",3,"Mikročástice a kapsle na bázi nanočástic elementárního železa a přírodních gum pro environmentální aplikace"
"20-00412S","Standardní projekty – 2020","Oborová komise technických věd","Vysoké učení technické v Brně","Fakulta elektrotechniky a komunikačních technologií","Analogově-digitální převodníky;integrované obvody;energy harvesting",3,"Nové obvodové principy pro extrémně nízkonapěťové asynchronní analogově-digitální převodníky"
"20-00431S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Univerzita Palackého v Olomouci","Lékařská fakulta","cytidinová deamináza;dCMP deamináza;analogy 2´-deoxycytidinu;polymorfismus deamináz;
cytarabin;5-(trifluorometyl)-2'-deoxycytidin;5-etynyl-2'-deoxycytidin;5–fluoro-2'-deoxycytidin;5-
bromo-2'-deoxycytidin",3,"Souhra mezi cytidin a deoxycytidin monofosfát deaminázami: jejich úloha při deaminaci biologicky významných analogů nukleosidů"
"20-00454S","Standardní projekty – 2020","Oborová komise lékařských a biologických věd","Univerzita Palackého v Olomouci","Lékařská fakulta","nukleosidové analogy;replikon;replikace DNA;opravy DNA;DNA glykozylázy;organizace chromatinu;bázová excizní oprava",3,"Lidské replikony: Strukturně funkční aspekty bázové excisní opravy"
"20-00533J","Mezinárodní projekty – 2020","Oborová komise věd o neživé přírodě","Mikrobiologický ústav AV ČR, v.v.i.",,"Glykobiotechnologie;biokatalýza;chemo-enzymatická syntéza;glykosyltransferasy;glykosidasy;neo-glykokonjugáty;multivalence;lektiny;rakovina;",3,"Chemoenzymová syntéza komplexních multivalentních neoglykoproteinů pro inhibici galektinů"
"20-00551S","Standardní projekty – 2020","Oborová komise věd o neživé přírodě","Geofyzikální ústav AV ČR, v.v.i.",,"hydromagnetická dynama;termochemická konvekce;vnitřní jádro Země;změny polarity;geomagnetické pole;",3,"Vliv růstu vnitřního jádra Země na geomagnetické pole: minulost, přítomnost a budoucnost"
"20-00567J","Mezinárodní projekty – 2020","Oborová komise společenských a humanitních věd","Vysoká škola ekonomická v Praze","Fakulta financí a účetnictví","demografie;úmrtnost;přírodní katastrofy;modelování;simulace;rozhodovací proces;transfer katastrofických rizik;insurance linked produkty",3,"Měření a řízení nových rizik v pojišťovnictví v rámci globálních transformací"
"20-00580Y","Juniorské projekty – 2020","Oborová komise zemědělských a biologicko - environmentálních věd","Mendelova univerzita v Brně","Agronomická fakulta","multi CLEA;imobilizace enzymů;NSAID;houby bílé hniloby;houby hnědé hniloby",3,"Efekt kokultivace hub na růst mycelia, produkci enzymů, imobilizaci zesítěných enzymů a degradaci léčiv"
"20-00598J","Mezinárodní projekty – 2020","Oborová komise technických věd","Ústav geoniky AV ČR, v.v.i.",,"abrazivní suspezní vodní paprsek;otryskávání; modelování;proudění;řezný materiál;tvarování",3,"Analýza a modelování erozního mechanismu úběru materiálu při vysokotlakém suspenzním otryskávání povrchů vysokopevnostních řezných materiálů"
"20-00607J","Mezinárodní projekty – 2020","Oborová komise věd o neživé přírodě","Masarykova univerzita","Přírodovědecká fakulta","hvězdy;chemicky pekuliární hvězdy;světelné křivky;spektra;magnetické pole;spektropolarimetrie;",3,"Zkoumání role magnetických polí ve fyzice chemicky pekuliárních hvězd užitím spektropolarimetrie vedené na BTA-6"
"20-00611S","Standardní projekty – 2020","Oborová komise společenských a humanitních věd","Univerzita Karlova","Filozofická fakulta","nižší šlechta;lenní institut;královská doména;komorní doména;feudalismus;Lucemburkové; Václav IV. Lucemburský;desky dvorské;husitská revoluce;Vyšehrad;vyšehradští purkrabí; královský okrsek na Vyšehradě",3,"Vyšehradská lenní soustava a úloha nižší šlechty v domácí politice Václava IV. Lucemburského"
